Frame,Prediction Time (ms)
178,0.00
179,0.00
180,0.00
181,0.00
182,0.00
183,0.00
184,0.00
185,0.00
186,0.00
187,0.00
188,0.00
189,0.00
190,0.50
191,1.00
192,0.00
193,0.00
194,0.00
195,0.00
196,0.00
197,0.00
198,0.00
199,0.00
200,0.00
201,0.00
202,0.00
203,1.00
204,1.00
205,0.00
206,0.00
207,0.00
208,0.00
209,0.00
210,0.00
211,0.00
212,1.00
213,1.00
214,0.00
215,0.00
216,0.00
217,0.00
218,0.00
219,0.00
220,0.00
221,1.00
222,0.00
223,0.00
224,0.00
225,0.00
226,0.00
227,1.01
228,0.00
229,0.00
230,0.00
231,0.00
232,0.00
233,1.00
234,0.00
235,0.00
236,0.00
237,0.00
238,0.00
239,0.00
240,0.00
241,0.00
242,0.00
243,1.00
244,1.00
245,0.00
246,0.00
247,0.00
248,0.00
249,0.00
250,0.00
251,0.00
252,0.00
253,1.00
254,0.00
255,1.00
256,0.00
257,0.00
258,0.00
259,0.00
260,0.00
261,1.00
262,0.00
263,0.00
264,0.00
265,0.00
266,0.00
267,0.00
268,0.00
269,0.00
270,0.00
271,0.00
272,1.00
273,0.00
274,0.51
275,0.00
276,0.00
277,0.00
278,1.00
279,1.00
280,0.00
281,0.00
282,0.00
283,1.00
284,0.00
285,1.00
286,0.00
287,0.00
288,0.00
289,1.00
290,0.00
291,0.00
292,0.00
293,0.00
294,0.00
295,0.00
296,0.00
297,1.00
298,0.00
299,1.00
300,0.00
301,0.00
302,0.00
303,0.00
304,1.00
305,0.00
306,0.00
307,0.00
308,0.00
309,0.00
310,1.00
311,0.00
312,0.00
313,0.00
314,0.00
315,0.00
316,1.00
317,0.00
318,0.00
319,0.00
320,1.51
321,1.00
322,0.00
323,0.00
324,0.00
325,0.00
326,0.00
327,0.00
328,0.00
329,0.00
330,1.00
331,0.00
332,0.00
333,0.00
334,0.00
335,0.00
336,0.00
337,0.00
338,0.00
339,1.00
340,0.50
341,0.00
342,0.00
343,1.00
344,0.00
345,0.00
346,0.00
347,0.00
348,0.00
349,1.50
350,0.00
351,0.00
352,0.00
353,0.00
354,0.00
355,0.00
356,1.56
357,0.00
358,0.00
359,0.00
360,0.00
361,0.00
362,0.00
363,0.00
364,1.00
365,0.50
366,0.00
367,0.00
368,0.00
369,0.00
370,0.00
371,1.00
372,0.00
373,0.00
374,0.00
375,0.00
376,1.34
377,0.00
378,0.00
379,0.00
380,0.00
381,0.00
382,0.00
383,0.00
384,1.50
385,0.00
386,0.00
387,0.00
388,0.00
389,1.00
390,0.00
391,0.00
392,0.00
393,0.00
394,0.00
395,1.00
396,1.00
397,0.00
398,0.00
399,0.00
400,1.50
401,0.00
402,0.00
403,1.00
404,1.00
405,0.00
406,0.00
407,0.00
408,1.00
409,0.00
410,0.00
411,0.00
412,0.00
413,0.00
414,0.00
415,0.00
416,0.00
417,0.00
418,0.00
419,0.00
420,0.00
421,0.00
422,1.00
423,0.00
424,0.00
425,0.00
426,0.00
427,0.00
428,0.00
429,0.00
430,0.00
431,0.00
432,0.00
433,0.00
434,0.00
435,0.00
436,1.01
437,0.00
438,1.00
439,1.00
440,0.00
441,0.00
442,0.00
443,0.00
444,1.50
445,0.00
446,0.00
447,0.00
448,0.00
449,0.00
450,0.00
451,0.00
452,0.00
453,0.00
454,1.00
455,0.00
456,0.00
457,0.00
458,0.00
459,0.00
460,0.00
461,1.50
462,0.00
463,0.00
464,0.00
465,0.00
466,0.00
467,1.01
468,0.00
469,0.50
470,0.00
471,0.00
472,0.00
473,0.00
474,0.00
475,0.00
476,0.00
477,0.00
478,0.00
479,1.50
480,1.51
481,1.00
482,1.00
483,0.00
484,0.00
485,0.00
486,0.00
487,0.00
488,1.00
489,0.00
490,0.00
491,1.00
492,1.05
493,1.00
494,0.00
495,1.00
496,0.00
497,0.00
498,0.00
499,1.00
500,1.00
501,0.00
502,0.00
503,1.00
504,0.00
505,0.00
506,0.52
507,0.00
508,0.00
509,1.01
510,0.00
511,1.00
512,0.00
513,0.00
514,0.00
515,0.00
516,0.00
517,0.00
518,1.00
519,0.00
520,0.00
521,0.00
522,0.00
523,0.00
524,1.34
525,1.29
526,0.00
527,1.00
528,1.00
529,0.00
530,0.00
531,0.00
532,0.00
533,1.00
534,0.00
535,0.00
536,1.49
537,0.00
538,1.00
539,0.00
540,0.00
541,1.00
542,0.00
543,0.00
544,0.00
545,0.00
546,0.50
547,0.00
548,0.00
549,0.00
550,0.00
551,0.00
552,0.00
553,1.00
554,0.00
555,0.00
556,1.00
557,1.00
558,0.00
559,0.00
560,0.00
561,0.00
562,0.00
563,1.00
564,1.50
565,0.00
566,0.00
567,0.00
568,1.00
569,0.00
570,0.00
571,0.00
572,0.00
573,0.00
574,0.00
575,0.00
576,0.00
577,1.03
578,1.00
579,0.00
580,0.00
581,0.00
582,0.00
583,0.00
584,0.00
585,0.00
586,0.00
587,0.00
588,1.50
589,1.50
590,0.00
591,0.00
592,0.00
593,1.00
594,0.00
595,1.01
596,0.00
597,0.00
598,0.00
599,0.00
600,0.00
601,0.00
602,1.00
603,0.00
604,0.00
605,0.00
606,0.00
607,0.00
608,1.00
609,0.00
610,0.00
611,0.00
612,0.00
613,0.00
614,0.50
615,0.00
616,0.00
617,0.00
618,0.00
619,0.00
620,1.50
621,0.00
622,0.00
623,0.00
624,1.01
625,1.01
626,0.00
627,1.15
628,0.00
629,1.00
630,0.00
631,0.00
632,1.00
633,0.00
634,0.00
635,0.00
636,0.00
637,1.00
638,0.00
639,0.00
640,0.00
641,0.00
642,0.00
643,0.00
644,0.50
645,1.00
646,0.00
647,0.00
648,0.00
649,0.00
650,0.00
651,1.00
652,0.50
653,1.00
654,0.00
655,0.00
656,1.00
657,1.50
658,0.00
659,0.00
660,0.00
661,0.00
662,0.00
663,1.50
664,1.57
665,0.00
666,1.00
667,0.00
668,1.00
669,1.01
670,0.00
671,1.00
672,0.00
673,0.00
674,0.00
675,0.00
676,0.00
677,0.00
678,0.00
679,0.00
680,1.00
681,1.00
682,1.50
683,1.00
684,1.51
685,0.00
686,0.00
687,0.00
688,1.50
689,0.00
690,0.00
691,0.00
692,0.00
693,0.00
694,1.00
695,0.00
696,0.00
697,1.00
698,0.00
699,0.00
700,1.50
701,0.00
702,1.00
703,0.00
704,0.00
705,1.00
706,0.00
707,0.00
708,0.00
709,0.00
710,0.00
711,0.00
712,0.00
713,0.00
714,0.00
715,0.00
716,1.00
717,0.00
718,0.00
719,0.00
720,0.00
721,0.00
722,0.00
723,0.00
724,0.00
725,1.00
726,0.00
727,0.00
728,0.00
729,0.00
730,0.00
731,1.00
732,0.00
733,0.00
734,0.00
735,0.00
736,1.00
737,0.00
738,1.00
739,0.00
740,0.00
741,0.00
742,0.00
743,0.00
744,1.00
745,0.00
746,0.00
747,0.00
748,0.00
749,0.00
750,0.00
751,0.00
752,0.00
753,0.00
754,1.00
755,0.00
756,0.00
757,0.00
758,0.00
759,0.51
760,0.00
761,0.00
762,0.00
763,0.00
764,0.00
765,0.00
766,0.00
767,0.00
768,0.00
769,0.00
770,0.00
771,0.00
772,1.00
773,0.51
774,0.00
775,0.00
776,0.00
777,1.00
778,0.00
779,1.00
780,0.00
781,0.00
782,0.00
783,1.00
784,0.00
785,1.00
786,1.00
787,0.00
788,0.00
789,0.00
790,0.00
791,0.00
792,0.00
793,1.00
794,0.00
795,0.00
796,0.00
797,1.55
798,0.00
799,0.00
800,0.00
801,0.00
802,0.00
803,0.00
804,0.00
805,0.00
806,1.00
807,0.00
808,0.00
809,0.00
810,0.00
811,0.00
812,1.00
813,0.00
814,0.00
815,0.00
816,1.00
817,0.00
818,0.00
819,0.00
820,0.00
821,0.00
822,0.00
823,1.00
824,0.50
825,1.00
826,0.00
827,1.00
828,1.00
829,0.00
830,0.00
831,0.00
832,0.00
833,0.00
834,0.00
835,0.00
836,0.00
837,0.00
838,0.00
839,0.00
840,0.00
841,0.00
842,0.00
843,0.00
844,1.00
845,0.00
846,0.00
847,0.00
848,0.00
849,0.00
850,0.00
851,0.00
852,1.00
853,0.00
854,0.00
855,1.00
856,0.00
857,0.00
858,1.00
859,0.00
860,0.00
861,0.00
862,1.01
863,0.00
864,0.00
865,0.00
866,1.00
867,1.56
868,0.00
869,0.00
870,0.00
871,0.00
872,0.00
873,0.00
874,1.00
875,0.00
876,0.00
877,0.51
878,1.00
879,0.00
880,0.00
881,0.00
882,0.00
883,0.00
884,0.00
885,0.00
886,0.00
887,0.00
888,0.00
889,0.00
890,0.00
891,0.00
892,0.00
893,0.00
894,0.00
895,0.00
896,0.00
897,1.00
898,0.00
899,0.00
900,0.00
901,0.00
902,0.00
903,0.00
904,0.00
905,0.00
906,1.00
907,0.00
908,0.00
909,0.00
910,0.00
911,0.00
912,0.00
913,0.00
914,1.50
915,1.00
916,0.00
917,0.00
918,0.00
919,0.00
920,0.00
921,0.00
922,0.00
923,0.00
924,0.00
925,0.00
926,0.00
927,0.00
928,0.00
929,1.00
930,0.00
931,0.00
932,0.00
933,1.00
934,0.00
935,0.00
936,0.00
937,0.00
938,0.00
939,0.00
940,0.00
941,0.00
942,0.00
943,0.00
944,0.00
945,1.50
946,0.00
947,1.00
948,0.00
949,0.00
950,0.00
951,0.00
952,0.00
953,0.00
954,0.00
955,0.00
956,0.00
957,0.00
958,0.00
959,0.00
960,0.00
961,0.00
962,1.50
963,0.00
964,0.00
965,0.00
966,0.00
967,0.00
968,0.00
969,1.00
970,0.00
971,0.00
972,0.00
973,0.00
974,0.00
975,0.00
976,0.00
977,1.00
978,1.00
979,1.00
980,0.00
981,0.00
982,0.00
983,1.00
984,1.00
985,0.00
986,0.00
987,0.00
988,0.00
989,1.00
990,0.00
991,0.50
992,0.00
993,1.54
994,0.00
995,0.00
996,0.00
997,0.00
998,0.00
999,0.00
1000,0.51
1001,0.00
1002,0.00
1003,0.00
1004,0.00
1005,0.00
1006,1.00
1007,1.00
1008,0.00
1009,0.00
1010,0.00
1011,0.00
1012,1.07
1013,0.00
1014,0.00
1015,0.00
1016,0.00
1017,1.00
1018,0.00
1019,0.00
1020,1.00
1021,0.00
1022,0.00
1023,0.00
1024,1.00
1025,0.00
1026,0.00
1027,0.00
1028,0.00
1029,0.00
1030,0.00
1031,0.00
1032,0.00
1033,0.00
1034,0.00
1035,0.00
1036,0.00
1037,0.00
1038,0.00
1039,0.00
1040,0.00
1041,0.00
1042,0.00
1043,0.00
1044,1.00
1045,0.00
1046,0.00
1047,0.00
1048,1.40
1049,0.00
1050,1.04
1051,1.00
1052,1.00
1053,0.00
1054,0.00
1055,1.00
1056,0.00
1057,1.00
1058,0.00
1059,0.00
1060,0.00
1061,1.09
1062,0.00
1063,0.00
1064,0.00
1065,0.00
1066,0.00
1067,0.00
1068,0.00
1069,0.00
1070,0.00
1071,0.00
1072,1.00
1073,0.00
1074,0.00
1075,0.00
1076,1.00
1077,0.00
1078,1.00
1079,0.00
1080,1.00
1081,0.00
1082,0.00
1083,0.00
1084,0.00
1085,0.00
1086,0.00
1087,0.00
1088,0.00
1089,1.00
1090,1.00
1091,0.00
1092,0.00
1093,0.00
1094,0.00
1095,0.00
1096,1.01
1097,0.00
1098,0.00
1099,0.00
1100,1.00
1101,0.00
1102,0.00
1103,0.00
1104,0.00
1105,1.00
1106,1.00
1107,0.00
1108,0.00
1109,0.00
1110,0.00
1111,0.00
1112,1.00
1113,0.00
1114,0.00
1115,0.00
1116,1.00
1117,0.00
1118,0.00
1119,0.00
1120,0.00
1121,1.00
1122,0.93
1123,0.00
1124,0.00
1125,0.00
1126,0.00
1127,0.00
1128,0.00
1129,0.00
1130,0.00
1131,0.00
1132,0.00
1133,1.00
1134,0.00
1135,0.00
1136,0.00
1137,0.00
1138,0.00
1139,1.00
1140,0.00
1141,0.00
1142,1.00
1143,1.00
1144,1.00
1145,0.00
1146,1.00
1147,0.00
1148,0.00
1149,0.00
1150,0.00
1151,0.00
1152,0.00
1153,0.00
1154,0.00
1155,0.00
1156,0.00
1157,0.00
1158,1.00
1159,0.00
1160,0.00
1161,1.00
1162,0.00
1163,0.00
1164,0.00
1165,0.00
1166,1.00
1167,0.00
1168,0.00
1169,0.00
1170,1.00
1171,0.00
1172,1.00
1173,1.00
1174,1.10
1175,0.00
1176,0.00
1177,1.42
1178,0.00
1179,0.00
1180,0.00
1181,0.00
1182,0.00
1183,0.00
1184,0.00
1185,0.00
1186,0.00
1187,0.00
1188,0.00
1189,1.00
1190,0.00
1191,0.00
1192,0.00
1193,0.00
1194,0.00
1195,0.00
1196,0.00
1197,0.00
1198,0.00
1199,0.00
1200,1.00
1201,0.00
1202,0.00
1203,0.00
1204,0.00
1205,0.00
1206,0.00
1207,1.00
1208,0.00
1209,1.00
1210,0.00
1211,0.00
1212,0.00
1213,0.00
1214,0.00
1215,0.00
1216,0.00
1217,0.00
1218,0.00
1219,0.00
1220,0.00
1221,0.00
1222,0.00
1223,0.00
1224,0.00
1225,0.00
1226,0.00
1227,0.00
1228,0.00
1229,1.00
1230,0.00
1231,0.00
1232,0.00
1233,1.34
1234,0.00
1235,0.00
1236,0.00
1237,1.00
1238,0.00
1239,0.00
1240,0.00
1241,1.00
1242,0.00
1243,0.00
1244,0.00
1245,0.00
1246,1.00
1247,0.00
1248,1.00
1249,0.00
1250,0.00
1251,0.00
1252,0.00
1253,1.00
1254,0.00
1255,0.00
1256,1.00
1257,0.00
1258,0.00
1259,0.00
1260,0.00
1261,0.00
1262,0.00
1263,0.00
1264,0.00
1265,0.00
1266,0.00
1267,0.00
1268,0.00
1269,0.00
1270,0.00
1271,1.00
1272,0.00
1273,0.00
1274,0.00
1275,0.00
1276,0.00
1277,0.00
1278,0.00
1279,0.00
1280,0.00
1281,0.00
1282,0.00
1283,1.00
1284,0.00
1285,0.00
1286,0.00
1287,0.00
1288,0.00
1289,0.00
1290,1.38
1291,1.00
1292,1.00
1293,1.00
1294,0.00
1295,0.00
1296,0.00
1297,0.00
1298,0.00
1299,1.00
1300,0.00
1301,0.00
1302,0.00
1303,0.00
1304,0.00
1305,0.00
1306,0.00
1307,0.00
1308,0.00
1309,0.00
1310,0.00
1311,1.50
1312,0.00
1313,0.00
1314,0.00
1315,0.00
1316,0.00
1317,0.00
1318,1.50
1319,0.00
1320,0.00
1321,0.00
1322,1.02
1323,0.00
1324,0.00
1325,1.00
1326,1.00
1327,0.00
1328,1.00
1329,0.00
1330,1.00
1331,1.00
1332,0.00
1333,1.00
1334,0.00
1335,0.00
1336,0.00
1337,0.00
1338,1.00
1339,0.00
1340,0.00
1341,0.00
1342,0.00
1343,0.00
1344,0.00
1345,1.01
1346,0.00
1347,0.00
1348,0.00
1349,0.00
1350,0.00
1351,1.00
1352,0.00
1353,1.00
1354,0.00
1355,0.00
1356,0.00
1357,0.00
1358,0.00
1359,0.00
1360,0.00
1361,0.00
1362,0.00
1363,0.00
1364,0.00
1365,0.00
1366,0.00
1367,0.00
1368,0.00
1369,0.00
1370,0.00
1371,0.00
1372,0.00
1373,0.00
1374,0.00
1375,0.00
1376,0.00
1377,0.00
1378,0.00
1379,0.00
1380,0.00
1381,0.00
1382,0.00
1383,0.00
1384,0.00
1385,1.00
1386,0.00
1387,0.00
1388,0.00
1389,0.00
1390,0.00
1391,0.00
1392,0.00
1393,0.00
1394,0.00
1395,0.00
1396,0.00
1397,0.00
1398,0.00
1399,0.00
1400,0.00
1401,0.00
1402,1.00
1403,0.00
1404,1.00
1405,0.00
1406,0.00
1407,1.00
1408,0.00
1409,1.01
1410,0.00
1411,0.00
1412,1.00
1413,0.00
1414,0.00
1415,0.00
1416,0.00
1417,0.00
1418,0.00
1419,1.01
1420,0.00
1421,0.00
1422,0.00
1423,0.00
1424,0.00
1425,0.00
1426,0.00
1427,0.00
1428,0.00
1429,1.00
1430,0.00
1431,1.00
1432,0.00
1433,0.00
1434,0.00
1435,0.00
1436,0.00
1437,0.00
1438,0.00
1439,0.00
1440,1.00
1441,0.00
1442,0.00
1443,0.00
1444,1.50
1445,0.00
1446,1.00
1447,0.00
1448,0.00
1449,0.00
1450,0.00
1451,0.50
1452,0.00
1453,1.00
1454,0.00
1455,0.00
1456,0.00
1457,0.00
1458,0.00
1459,0.00
1460,0.00
1461,1.00
1462,0.00
1463,0.00
1464,0.00
1465,0.00
1466,0.00
1467,0.00
1468,1.00
1469,1.01
1470,0.00
1471,1.00
1472,0.00
1473,1.00
1474,0.00
1475,0.00
1476,0.00
1477,1.00
1478,0.00
1479,0.00
1480,0.00
1481,0.00
1482,0.00
1483,1.00
1484,0.00
1485,0.00
1486,0.00
1487,0.00
1488,0.00
1489,0.00
1490,1.00
1491,0.00
1492,1.00
1493,0.00
1494,0.00
1495,0.00
1496,0.00
1497,0.00
1498,0.00
1499,0.00
1500,0.00
1501,0.00
1502,0.00
1503,0.00
1504,0.00
1505,1.50
1506,0.00
1507,1.00
1508,0.00
1509,0.00
1510,0.00
1511,0.00
1512,0.00
1513,0.00
1514,0.00
1515,0.00
1516,0.00
1517,0.00
1518,0.00
1519,0.00
1520,1.00
1521,0.00
1522,1.01
1523,1.00
1524,0.00
1525,0.00
1526,1.00
1527,1.00
1528,1.00
1529,0.00
1530,0.00
1531,1.50
1532,1.00
1533,0.00
1534,0.00
1535,0.00
1536,1.00
1537,0.00
1538,0.00
1539,0.00
1540,1.00
1541,0.00
1542,1.00
1543,0.00
1544,1.00
1545,0.00
1546,0.00
1547,0.00
1548,0.00
1549,0.00
1550,0.00
1551,0.00
1552,0.00
1553,1.00
1554,1.01
1555,0.00
1556,0.00
1557,0.00
1558,0.00
1559,1.00
1560,0.00
1561,0.00
1562,0.00
1563,0.00
1564,0.00
1565,0.00
1566,0.00
1567,0.00
1568,0.00
1569,0.00
1570,0.00
1571,0.00
1572,1.00
1573,0.00
1574,0.00
1575,1.00
1576,0.00
1577,0.00
1578,0.00
1579,0.00
1580,1.00
1581,0.00
1582,0.00
1583,0.00
1584,0.00
1585,0.00
1586,0.00
1587,0.00
1588,0.00
1589,0.00
1590,0.00
1591,0.00
1592,0.00
1593,0.00
1594,0.00
1595,0.00
1596,0.00
1597,0.00
1598,1.00
1599,0.00
1600,0.00
1601,0.00
1602,0.00
1603,0.00
1604,1.00
1605,0.00
1606,0.00
1607,0.00
1608,1.00
1609,0.00
1610,0.00
1611,1.00
1612,1.00
1613,1.00
1614,0.00
1615,1.00
1616,0.00
1617,0.00
1618,0.00
1619,0.00
1620,0.00
1621,0.00
1622,0.00
1623,0.00
1624,1.00
1625,0.00
1626,1.29
1627,0.00
1628,0.00
1629,1.00
1630,0.00
1631,1.00
1632,0.00
1633,0.00
1634,0.00
1635,0.00
1636,1.00
1637,0.00
1638,0.00
1639,0.00
1640,0.00
1641,1.00
1642,0.00
1643,0.00
1644,0.00
1645,0.00
1646,1.00
1647,0.00
1648,1.00
1649,1.31
1650,1.00
1651,0.00
1652,0.00
1653,0.00
1654,0.00
1655,1.00
1656,0.00
1657,0.00
1658,0.00
1659,1.00
1660,0.00
1661,1.00
1662,0.00
1663,0.00
1664,0.00
1665,0.00
1666,0.00
1667,0.00
1668,0.00
1669,0.00
1670,0.00
1671,0.00
1672,0.00
1673,0.00
1674,1.50
1675,0.00
1676,0.00
1677,0.00
1678,0.00
1679,0.00
1680,0.00
1681,0.00
1682,0.00
1683,0.00
1684,0.00
1685,1.00
1686,0.00
1687,1.00
1688,1.00
1689,0.00
1690,0.00
1691,0.00
1692,1.00
1693,0.00
1694,0.00
1695,0.00
1696,1.00
1697,0.00
1698,0.00
1699,0.00
1700,0.00
1701,0.00
1702,0.00
1703,0.00
1704,0.00
1705,0.00
1706,0.00
1707,0.00
1708,0.00
1709,0.00
1710,0.00
1711,0.00
1712,0.00
1713,0.00
1714,0.00
1715,0.50
1716,0.00
1717,0.00
1718,0.00
1719,1.00
1720,0.00
1721,0.00
1722,0.00
1723,0.00
1724,0.00
1725,0.00
1726,0.00
1727,0.00
1728,0.00
1729,1.00
1730,0.00
1731,0.00
1732,0.00
1733,0.00
1734,0.00
1735,1.00
1736,0.00
1737,0.00
1738,1.00
1739,1.00
1740,0.00
1741,0.00
1742,0.00
1743,0.00
1744,0.00
1745,0.00
1746,0.00
1747,1.00
1748,0.00
1749,0.00
1750,0.00
1751,0.00
1752,0.00
1753,0.00
1754,0.00
1755,0.00
1756,0.00
1757,0.00
1758,1.07
1759,0.00
1760,1.00
1761,0.00
1762,0.00
1763,0.00
